"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"MATP",-1,-1,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,0
"MNMC",0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,-1
"PAAC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PLSY",0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"RMUC",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"YBDZ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,0,1,-1,-1,-1,-1
"YKGG",1,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1
"YHAM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YHDP",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"YPEB",1,1,0,0,0,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1
"TAMB",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AHR",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"YBBO",0,0,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"GHXP",0,0,1,0,0,-1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1
"ELAA",-1,1,-1,-1,0,-1,-1,0,-1,-1,-1,1,0,1,0,1,1,-1,-1,0,-1
"FXSA",1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
"MAZG",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
"WBBJ",1,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,0,1,1,1,1,1
"YBAQ",-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0
"YBEY",1,1,1,0,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YBHP",-1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"YBJL",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"YDDM",0,0,0,1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YEDY",-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"YEEE",1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"YIDE",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"CVPA",0,0,0,0,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
"SUFE",-1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1
"YBGL",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"YJFP",1,1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,1,1,0,0,-1,-1,-1
"YJJG",-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"YPFH",-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1
"YQIA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
