,pyr_1,pyr_2,pyr_3
P0A6B4,0.0,0.0,15.023853666332817
P0A6B7,2329.7219488357505,2327.9184877964813,1676.7396244508143
P0A6C5,13468.795199035061,13458.368870090711,9693.71585957753
P0A6C8,232.94349846232856,232.7631745725875,167.65330915355548
P0A6D3,135.3634569567881,135.25867075220035,97.42333075220155
P0A6D5,0.0,0.0,0.0
P0A6D7,386.7492534154902,0.0,0.0
P0A6E1,0.0,386.4498669540061,278.3498684263976
P0A6E4,15288.524454216735,15276.689454673133,11003.40526240961
P0A6E6,195026.28792208733,195052.1184450374,135787.7094023711
P0A6F1,0.0,0.0,0.0
P0A6F3,0.0,0.0,0.0
P0A6G3,0.0,0.0,0.0
P0A6G5,0.0,0.0,0.0
P0A6H8,0.0,0.0,0.0
P0A6I0,58.97843341081652,58.93277761619965,42.447759200350816
P0A6I3,20.998293395672274,20.982038407080367,15.112820909880536
P0A6I6,4.932694399497208,4.928875951508109,3.5501421786084815
P0A6I9,497.6817875728777,497.29652713161397,358.189857812362
P0A6J1,32.313743020600064,32.2887286292481,23.256738154541825
P0A6J5,0.0,0.0,0.0
P0A6J8,0.0,63.21602738772946,45.53287349923783
P0A6K1,102.92806652436829,102.84838887961014,74.07904093265907
P0A6K6,256.932918322886,256.6972088388576,171.58916905346067
P0A6L0,0.0,0.0,0.0
P0A6L2,106.24817373449953,106.16592596157535,76.46857729747457
P0A6L4,0.0,0.0,0.0
P0A6L7,0.0,0.0,0.0
P0A6P9,9341.747251935632,9086.71734419673,6723.410828812647
P0A6Q3,0.0,0.0,0.0
P0A6Q6,0.0,0.0,0.0
P0A6R0,0.0,0.0,0.0
P0A6S7,83.4812075668387,83.4165839299134,60.08281318475495
P0A6T1,0.0,0.0,0.0
P0A6T3,0.0,0.0,0.0
P0A6T5,6788.831061557934,6783.575759597655,4886.034597520651
P0A6T9,0.0,0.0,0.0
P0A6U8,0.0,0.0,0.0
P0A6V1,0.0,0.0,0.0
P0A6V5,0.0,0.0,0.0
P0A6V8,0.0,0.0,0.0
P0A6W0,0.0,0.0,0.0
P0A6W3,185.1689776456978,185.02563648988598,133.26919214232723
P0A6W9,0.0,0.0,0.0
P0A6X1,844.8551203778549,844.2011095873418,608.0562781174988
P0A715,13.820520197372849,13.809821594592824,9.946858189252355
P0A717,7844.88450513577,7844.88450513577,7844.88450513577
P0A720,24.392279350212956,24.37339704303923,17.55552903539172
P0A722,131.62281727320124,131.52092673516924,94.73113017376016
P0A725,418.799873142004,418.47567597553854,301.4172323710551
P0A731,0.0,0.0,0.0
P0A738,0.0,0.0,0.0
P0A744,0.0,0.0,0.0
P0A746,0.0,0.0,0.0
P0A749,207.78037095556851,207.6195260942615,149.54298788247948
P0A752,14.710517748012366,14.699130189232958,10.587404225041633
P0A754,0.0,0.0,0.0
P0A759,0.0,0.0,0.0
P0A761,0.0,0.0,0.0
P0A763,0.0,0.0,17.526107451973445
P0A786,28.174602189811385,28.15279194873444,20.27772967430891
P0A790,36.82845228039296,36.79994300773945,26.50604947811479
P0A794,5.657287935166928,5.652908572048454,4.071644194519579
P0A796,0.0,0.0,0.0
P0A799,158.20100267925787,158.13716087998043,113.85989214408983
P0A7A7,495.1063824265556,494.7231156287952,356.33629590345276
P0A7A9,318.8840353895745,0.0,0.0
P0A7B1,0.0,0.0,0.0
P0A7B3,0.12700783982769348,0.1269095217897311,0.0914096541697813
P0A7B5,442.2817742755869,441.93939953482163,318.31754706645944
P0A7D4,3615.7513740021586,3612.9523847343803,2602.3163854301274
P0A7D7,205.42652690809106,205.267504180965,147.84888718253487
P0A7E1,136.61592342799565,136.510167676598,98.32475169714286
P0A7E3,3671.5423681395027,3668.70019050612,2642.4700915858148
P0A7E5,407.23593981734126,406.92069440720974,293.0944772758991
P0A7E9,30.781256469227888,30.75742839102745,22.15378210182118
P0A7F3,0.0,0.0,0.0
P0A7F6,0.0,0.0,0.0
P0A7I7,105.60689004719455,105.52513869847346,76.00703476468341
P0A7J0,266.0844262434309,265.8784476305832,191.50538593445262
P0A7Z0,0.0,0.6608355515025882,0.4758385939812429
P0A817,21.121378009447174,21.105027739683386,15.201406952937505
P0A825,58.89884504358625,57.98273343996153,42.3904781290835
P0A836,3622.2530715606486,3624.855195489076,1766.312474198539
P0A840,0.0,164.16134039315926,118.24117798072753
P0A853,45.883815245526215,45.84829612567161,33.0233447736549
P0A858,3.989728767836893,3.9875196265968538,2.871474134149986
P0A867,306.2986204621367,0.0,220.44821018238883
P0A870,0.0,305.71591524322565,0.0
P0A877,2.740847692455433,2.738725974870036,1.9726336582016768
P0A879,2.740847692455433,2.738725974870036,1.9726336582016768
P0A884,19.361129176452838,19.3461415329001,13.934526598975678
P0A887,0.0,0.0,0.0
P0A8F0,0.0,0.0,0.0
P0A8F4,0.0,0.0,0.0
P0A8G3,0.0,0.0,0.0
P0A8G6,0.0,0.0,0.0
P0A8K1,13.466993149458206,13.456568215498447,9.69241889453317
P0A8N5,0.0,0.0,0.0
P0A8Q0,0.0,0.0,0.0
P0A8Q3,0.0,0.0,0.0
P0A8Y1,0.0,0.0,0.0
P0A8Y3,0.0,0.0,0.0
P0A8Y5,0.0,0.0,0.0
P0A8Y8,0.0,0.0,0.0
P0A921,0.0,0.0,0.0
P0A924,109.66028333058595,109.57539420952955,78.92432930924838
P0A935,0.0,0.0,0.0
P0A951,0.0,0.0,0.0
P0A953,34550.80295868527,34524.05683688185,24866.78738910074
P0A955,0.0,0.0,0.0
P0A959,0.0,0.0,0.0
P0A962,0.0,0.0,0.0
P0A991,0.0,0.0,0.0
P0A993,0.0,0.0,0.0
P0A996,0.0,0.0,0.0
P0A9B2,1160.7352727683804,1160.266859629125,835.4004761474023
P0A9B6,0.07920374187948763,0.0395712147357396,0.05700425000521809
P0A9C0,0.0,0.0,0.0
P0A9C3,0.0,0.0,0.0
P0A9C5,18545.365087253373,18531.008934832433,13347.40761971332
P0A9C9,0.0,0.0,0.0
P0A9D4,43.94852579698512,43.914504804030955,31.630484778164515
P0A9D8,304.9755623020543,304.7394776719475,219.49598322519597
P0A9G6,3689.0720839062938,3820.167056927222,2655.0865195017013
P0A9H3,0.0,0.0,0.0
P0A9H5,0.0,0.0,0.0
P0A9H7,0.0,0.0,0.0
P0A9I1,0.0,0.0,0.0
P0A9I8,0.0,0.0,0.0
P0A9J4,0.9575311414237653,0.9567899070059505,0.6891510840091272
P0A9J6,0.0,0.0,0.0
P0A9J8,0.10127872084084776,0.10120031997106353,0.05030600584560517
P0A9L8,1.9627949599178074,1.9612755407270035,1.412656169381595
P0A9M2,0.0,0.0,0.0
P0A9M5,0.0,0.0,0.0
P0A9M8,0.0,49.780503685465796,4268.0061665921
P0A9N4,0.0,0.0,140.47997813442907
P0A9N8,0.0,0.0,0.0
